Wall time,Step,Value
1669206115.308793,240,100.0
1669206120.4815707,241,100.0
1669206125.6512764,242,100.0
1669206130.8189569,243,100.0
1669206135.9912946,244,100.0
1669206141.1623604,245,100.0
1669206146.3359199,246,100.0
1669206151.5042963,247,100.0
1669206156.678752,248,100.0
1669206161.854961,249,100.0
1669206167.0253778,250,100.0
1669206172.1973057,251,100.0
1669206177.3746793,252,100.0
1669206182.556064,253,100.0
1669206187.736376,254,100.0
1669206192.9166265,255,100.0
1669206198.0915792,256,99.53488159179688
1669206203.2628,257,100.0
1669206208.4328835,258,99.06977081298828
1669206213.607626,259,100.0
1669206218.7836,260,100.0
1669206223.9510071,261,100.0
1669206229.12231,262,100.0
1669206234.2909546,263,100.0
1669206239.4632645,264,100.0
1669206244.640056,265,100.0
1669206249.8069282,266,100.0
1669206254.9827175,267,100.0
1669206260.1688547,268,100.0
1669206265.3523242,269,100.0
1669206270.5285714,270,100.0
1669206275.7086878,271,100.0
1669206280.879551,272,100.0
1669206286.056563,273,100.0
1669206291.2288194,274,100.0
1669206296.4004962,275,100.0
1669206301.573403,276,100.0
1669206306.7473357,277,100.0
1669206311.9158728,278,100.0
1669206317.0910347,279,100.0
1669206322.2780194,280,100.0
1669206327.4528549,281,99.53488159179688
1669206332.6246903,282,98.60465240478516
1669206337.8090558,283,96.74418640136719
1669206342.9908683,284,97.6744155883789
1669206348.1781995,285,99.53488159179688
1669206353.3569837,286,97.6744155883789
1669206358.5323339,287,97.20930480957031
1669206363.7070343,288,96.27906799316406
1669206368.8869867,289,98.60465240478516
1669206374.1244874,290,99.53488159179688
1669206379.2952955,291,99.06977081298828
1669206384.4670606,292,99.53488159179688
1669206389.6387622,293,99.53488159179688
1669206394.809388,294,100.0
1669206399.9834504,295,100.0
1669206405.1522207,296,99.06977081298828
1669206410.3233552,297,99.53488159179688
1669206415.4918838,298,99.53488159179688
1669206420.6639023,299,100.0
1669206425.8430862,300,100.0
